[2023-02-18 23:42:51,829] INFO [Controller id=0 epoch=11] Sending LeaderAndIsr request to broker 0 with 52 become-leader and 0 become-follower partitions (state.change.logger)
[2023-02-18 23:42:51,849] INFO [Controller id=0 epoch=11] Sending UpdateMetadata request to brokers HashSet(0) for 52 partitions (state.change.logger)
[2023-02-18 23:42:51,926] INFO [Broker id=0] Handling LeaderAndIsr request correlationId 1 from controller 0 for 52 partitions (state.change.logger)
[2023-02-18 23:42:51,999] INFO [Broker id=0] Stopped fetchers as part of LeaderAndIsr request correlationId 1 from controller 0 epoch 11 as part of the become-leader transition for 52 partitions (state.change.logger)
[2023-02-18 23:42:52,026] INFO [Broker id=0] Leader __consumer_offsets-3 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,039] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,045] INFO [Broker id=0] Leader __consumer_offsets-41 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,051] INFO [Broker id=0] Leader __consumer_offsets-10 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,062] INFO [Broker id=0] Leader __consumer_offsets-33 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,072] INFO [Broker id=0] Leader __consumer_offsets-48 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,078] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,083] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,088] INFO [Broker id=0] Leader __consumer_offsets-4 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,094] INFO [Broker id=0] Leader __consumer_offsets-11 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,099] INFO [Broker id=0] Leader __consumer_offsets-26 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,105] INFO [Broker id=0] Leader __consumer_offsets-49 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,111] INFO [Broker id=0] Leader __consumer_offsets-39 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 30 with partition epoch 0, high watermark 30, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-02-18 23:42:52,113] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(PiffbnC3TuyYnUOIOTTmrQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
